xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-60.0 m/s-VLM1-proj_area
Freestream speed :, 60.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.174171,   0.001617,   0.006740,   0.008357,  -0.000000,  -0.000000,  -0.165384,   0.000000,   0.000000,   60.0000,    5.6743
   -4.750,     0.000,   0.198389,   0.001717,   0.006601,   0.008319,  -0.000000,  -0.000000,  -0.158547,   0.000000,   0.000000,   60.0000,    5.4582
   -4.500,     0.000,   0.222603,   0.001829,   0.006471,   0.008300,  -0.000000,  -0.000000,  -0.151688,   0.000000,   0.000000,   60.0000,    5.2890
   -4.250,     0.000,   0.246812,   0.001954,   0.006353,   0.008307,  -0.000000,  -0.000000,  -0.144809,   0.000000,   0.000000,   60.0000,    5.1531
   -4.000,     0.000,   0.271016,   0.002090,   0.006254,   0.008344,  -0.000000,  -0.000000,  -0.137907,   0.000000,   0.000000,   60.0000,    5.0415
   -3.750,     0.000,   0.295214,   0.002238,   0.006153,   0.008391,  -0.000000,  -0.000000,  -0.130986,   0.000000,   0.000000,   60.0000,    4.9481
   -3.500,     0.000,   0.319405,   0.002398,   0.006046,   0.008444,  -0.000000,  -0.000000,  -0.124047,   0.000000,   0.000000,   60.0000,    4.8690
   -3.250,     0.000,   0.343590,   0.002571,   0.005938,   0.008508,  -0.000000,  -0.000000,  -0.117091,   0.000000,   0.000000,   60.0000,    4.8010
   -3.000,     0.000,   0.367766,   0.002755,   0.005819,   0.008574,  -0.000000,  -0.000000,  -0.110118,   0.000000,   0.000000,   60.0000,    4.7419
   -2.750,     0.000,   0.391934,   0.002951,   0.005698,   0.008649,  -0.000000,  -0.000000,  -0.103129,   0.000000,   0.000000,   60.0000,    4.6902
   -2.500,     0.000,   0.416093,   0.003159,   0.005614,   0.008774,  -0.000000,  -0.000000,  -0.096122,   0.000000,   0.000000,   60.0000,    4.6444
   -2.250,     0.000,   0.440242,   0.003379,   0.005567,   0.008946,  -0.000000,  -0.000000,  -0.089094,   0.000000,   0.000000,   60.0000,    4.6038
   -2.000,     0.000,   0.464381,   0.003612,   0.005524,   0.009135,  -0.000000,  -0.000000,  -0.082052,   0.000000,   0.000000,   60.0000,    4.5673
   -1.750,     0.000,   0.488510,   0.003855,   0.005493,   0.009348,  -0.000000,  -0.000000,  -0.074993,   0.000000,   0.000000,   60.0000,    4.5345
   -1.500,     0.000,   0.512626,   0.004111,   0.005463,   0.009575,  -0.000000,  -0.000000,  -0.067920,   0.000000,   0.000000,   60.0000,    4.5048
   -1.250,     0.000,   0.536731,   0.004379,   0.005446,   0.009824,  -0.000000,  -0.000000,  -0.060833,   0.000000,   0.000000,   60.0000,    4.4778
   -1.000,     0.000,   0.560822,   0.004658,   0.005430,   0.010088,  -0.000000,  -0.000000,  -0.053733,   0.000000,   0.000000,   60.0000,    4.4531
   -0.750,     0.000,   0.584901,   0.004949,   0.005420,   0.010369,  -0.000000,  -0.000000,  -0.046620,   0.000000,   0.000000,   60.0000,    4.4305
   -0.500,     0.000,   0.608965,   0.005252,   0.005414,   0.010666,  -0.000000,  -0.000000,  -0.039495,   0.000000,   0.000000,   60.0000,    4.4097
   -0.250,     0.000,   0.633015,   0.005566,   0.005412,   0.010978,  -0.000000,  -0.000000,  -0.032358,   0.000000,   0.000000,   60.0000,    4.3905
    0.000,     0.000,   0.657050,   0.005892,   0.005417,   0.011309,  -0.000000,  -0.000000,  -0.025210,   0.000000,   0.000000,   60.0000,    4.3727
    0.250,     0.000,   0.681069,   0.006230,   0.005420,   0.011650,  -0.000000,  -0.000000,  -0.018052,   0.000000,   0.000000,   60.0000,    4.3562
    0.500,     0.000,   0.705071,   0.006579,   0.005412,   0.011991,  -0.000000,  -0.000000,  -0.010885,   0.000000,   0.000000,   60.0000,    4.3408
    0.750,     0.000,   0.729057,   0.006940,   0.005406,   0.012346,  -0.000000,  -0.000000,  -0.003709,   0.000000,   0.000000,   60.0000,    4.3265
    1.000,     0.000,   0.753024,   0.007312,   0.005435,   0.012747,  -0.000000,  -0.000000,   0.003478,   0.000000,   0.000000,   60.0000,    4.3131
    1.250,     0.000,   0.776974,   0.007695,   0.005474,   0.013169,  -0.000000,  -0.000000,   0.010674,   0.000000,   0.000000,   60.0000,    4.3005
    1.500,     0.000,   0.800905,   0.008089,   0.005518,   0.013607,  -0.000000,  -0.000000,   0.017877,   0.000000,   0.000000,   60.0000,    4.2887
    1.750,     0.000,   0.824816,   0.008495,   0.005564,   0.014059,  -0.000000,  -0.000000,   0.025087,   0.000000,   0.000000,   60.0000,    4.2777
    2.000,     0.000,   0.848707,   0.008912,   0.005600,   0.014512,  -0.000000,  -0.000000,   0.032302,   0.000000,   0.000000,   60.0000,    4.2672
    2.250,     0.000,   0.872578,   0.009340,   0.005626,   0.014966,  -0.000000,  -0.000000,   0.039523,   0.000000,   0.000000,   60.0000,    4.2574
    2.500,     0.000,   0.896427,   0.009779,   0.005667,   0.015446,  -0.000000,  -0.000000,   0.046750,   0.000000,   0.000000,   60.0000,    4.2481
    2.750,     0.000,   0.920255,   0.010229,   0.005726,   0.015955,  -0.000000,  -0.000000,   0.053982,   0.000000,   0.000000,   60.0000,    4.2393
    3.000,     0.000,   0.944060,   0.010690,   0.005810,   0.016500,  -0.000000,  -0.000000,   0.061220,   0.000000,   0.000000,   60.0000,    4.2310
    3.250,     0.000,   0.967842,   0.011161,   0.005932,   0.017093,  -0.000000,  -0.000000,   0.068463,   0.000000,   0.000000,   60.0000,    4.2231
    3.500,     0.000,   0.991600,   0.011644,   0.006067,   0.017710,  -0.000000,  -0.000000,   0.075710,   0.000000,   0.000000,   60.0000,    4.2156
    3.750,     0.000,   1.015334,   0.012136,   0.006220,   0.018357,  -0.000000,  -0.000000,   0.082960,   0.000000,   0.000000,   60.0000,    4.2085
    4.000,     0.000,   1.039044,   0.012640,   0.006372,   0.019012,  -0.000000,  -0.000000,   0.090212,   0.000000,   0.000000,   60.0000,    4.2018
    4.250,     0.000,   1.062727,   0.013154,   0.006502,   0.019656,  -0.000000,  -0.000000,   0.097465,   0.000000,   0.000000,   60.0000,    4.1953
    4.500,     0.000,   1.086385,   0.013678,   0.006633,   0.020311,  -0.000000,  -0.000000,   0.104718,   0.000000,   0.000000,   60.0000,    4.1892
    4.750,     0.000,   1.110017,   0.014213,   0.006781,   0.020995,  -0.000000,  -0.000000,   0.111971,   0.000000,   0.000000,   60.0000,    4.1833
    5.000,     0.000,   1.133621,   0.014758,   0.006930,   0.021688,  -0.000000,  -0.000000,   0.119224,   0.000000,   0.000000,   60.0000,    4.1777
    5.250,     0.000,   1.157197,   0.015313,   0.007062,   0.022375,  -0.000000,  -0.000000,   0.126475,   0.000000,   0.000000,   60.0000,    4.1724
    5.500,     0.000,   1.180745,   0.015878,   0.007220,   0.023099,  -0.000000,  -0.000000,   0.133726,   0.000000,   0.000000,   60.0000,    4.1673
    5.750,     0.000,   1.204264,   0.016453,   0.007453,   0.023906,  -0.000000,  -0.000000,   0.140975,   0.000000,   0.000000,   60.0000,    4.1624
