xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-59.0 m/s-VLM1-proj_area
Freestream speed :, 59.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.006226,   0.008505,  -0.000000,   0.000000,  -0.139836,   0.000000,   0.000000,   59.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.006163,   0.008532,  -0.000000,   0.000000,  -0.135652,   0.000000,   0.000000,   59.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.006094,   0.008558,  -0.000000,   0.000000,  -0.131462,   0.000000,   0.000000,   59.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.006023,   0.008587,  -0.000000,   0.000000,  -0.127266,   0.000000,   0.000000,   59.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.005954,   0.008621,  -0.000000,   0.000000,  -0.123063,   0.000000,   0.000000,   59.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.005885,   0.008661,  -0.000000,   0.000000,  -0.118854,   0.000000,   0.000000,   59.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.005817,   0.008706,  -0.000000,   0.000000,  -0.114639,   0.000000,   0.000000,   59.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.005749,   0.008755,  -0.000000,   0.000000,  -0.110417,   0.000000,   0.000000,   59.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.005683,   0.008811,  -0.000000,   0.000000,  -0.106190,   0.000000,   0.000000,   59.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.005637,   0.008890,  -0.000000,   0.000000,  -0.101955,   0.000000,   0.000000,   59.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.005606,   0.008990,  -0.000000,   0.000000,  -0.097713,   0.000000,   0.000000,   59.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.005578,   0.009096,  -0.000000,   0.000000,  -0.093465,   0.000000,   0.000000,   59.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.005550,   0.009207,  -0.000000,   0.000000,  -0.089211,   0.000000,   0.000000,   59.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.005529,   0.009329,  -0.000000,   0.000000,  -0.084951,   0.000000,   0.000000,   59.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.005510,   0.009458,  -0.000000,   0.000000,  -0.080685,   0.000000,   0.000000,   59.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.005492,   0.009592,  -0.000000,   0.000000,  -0.076415,   0.000000,   0.000000,   59.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.005475,   0.009730,  -0.000000,   0.000000,  -0.072139,   0.000000,   0.000000,   59.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.005463,   0.009879,  -0.000000,   0.000000,  -0.067857,   0.000000,   0.000000,   59.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.005453,   0.010034,  -0.000000,   0.000000,  -0.063571,   0.000000,   0.000000,   59.0000,    4.4839
   -1.150,     0.000,   0.556051,   0.004750,   0.005443,   0.010193,  -0.000000,   0.000000,  -0.059280,   0.000000,   0.000000,   59.0000,    4.4687
   -1.000,     0.000,   0.570471,   0.004924,   0.005434,   0.010358,  -0.000000,   0.000000,  -0.054984,   0.000000,   0.000000,   59.0000,    4.4543
   -0.850,     0.000,   0.584887,   0.005101,   0.005429,   0.010531,  -0.000000,   0.000000,  -0.050684,   0.000000,   0.000000,   59.0000,    4.4407
   -0.700,     0.000,   0.599297,   0.005283,   0.005425,   0.010709,  -0.000000,   0.000000,  -0.046379,   0.000000,   0.000000,   59.0000,    4.4277
   -0.550,     0.000,   0.613702,   0.005470,   0.005421,   0.010891,  -0.000000,   0.000000,  -0.042070,   0.000000,   0.000000,   59.0000,    4.4153
   -0.400,     0.000,   0.628102,   0.005660,   0.005419,   0.011079,  -0.000000,   0.000000,  -0.037757,   0.000000,   0.000000,   59.0000,    4.4035
   -0.250,     0.000,   0.642497,   0.005855,   0.005420,   0.011275,  -0.000000,   0.000000,  -0.033439,   0.000000,   0.000000,   59.0000,    4.3922
   -0.100,     0.000,   0.656886,   0.006054,   0.005421,   0.011475,  -0.000000,   0.000000,  -0.029118,   0.000000,   0.000000,   59.0000,    4.3815
    0.050,     0.000,   0.671269,   0.006257,   0.005423,   0.011680,  -0.000000,   0.000000,  -0.024793,   0.000000,   0.000000,   59.0000,    4.3712
    0.200,     0.000,   0.685647,   0.006464,   0.005421,   0.011886,  -0.000000,   0.000000,  -0.020464,   0.000000,   0.000000,   59.0000,    4.3613
    0.350,     0.000,   0.700018,   0.006676,   0.005418,   0.012094,  -0.000000,   0.000000,  -0.016132,   0.000000,   0.000000,   59.0000,    4.3518
    0.500,     0.000,   0.714383,   0.006892,   0.005415,   0.012307,  -0.000000,   0.000000,  -0.011797,   0.000000,   0.000000,   59.0000,    4.3428
    0.650,     0.000,   0.728743,   0.007112,   0.005414,   0.012526,  -0.000000,   0.000000,  -0.007458,   0.000000,   0.000000,   59.0000,    4.3341
    0.800,     0.000,   0.743095,   0.007336,   0.005429,   0.012765,  -0.000000,   0.000000,  -0.003115,   0.000000,   0.000000,   59.0000,    4.3257
    0.950,     0.000,   0.757442,   0.007564,   0.005450,   0.013014,  -0.000000,   0.000000,   0.001231,   0.000000,   0.000000,   59.0000,    4.3177
    1.100,     0.000,   0.771781,   0.007797,   0.005472,   0.013269,  -0.000000,   0.000000,   0.005580,   0.000000,   0.000000,   59.0000,    4.3100
    1.250,     0.000,   0.786114,   0.008033,   0.005497,   0.013530,  -0.000000,   0.000000,   0.009933,   0.000000,   0.000000,   59.0000,    4.3026
    1.400,     0.000,   0.800440,   0.008274,   0.005526,   0.013800,  -0.000000,   0.000000,   0.014288,   0.000000,   0.000000,   59.0000,    4.2954
    1.550,     0.000,   0.814759,   0.008519,   0.005556,   0.014075,  -0.000000,   0.000000,   0.018646,   0.000000,   0.000000,   59.0000,    4.2885
    1.700,     0.000,   0.829071,   0.008768,   0.005587,   0.014355,  -0.000000,   0.000000,   0.023006,   0.000000,   0.000000,   59.0000,    4.2819
    1.850,     0.000,   0.843375,   0.009021,   0.005608,   0.014628,  -0.000000,   0.000000,   0.027368,   0.000000,   0.000000,   59.0000,    4.2755
    2.000,     0.000,   0.857672,   0.009278,   0.005621,   0.014899,  -0.000000,   0.000000,   0.031731,   0.000000,   0.000000,   59.0000,    4.2693
    2.150,     0.000,   0.871962,   0.009539,   0.005634,   0.015172,  -0.000000,   0.000000,   0.036097,   0.000000,   0.000000,   59.0000,    4.2633
