xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-4.0 m/s-VLM1-proj_area
Freestream speed :, 4.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,   0.281305,   0.002279,   0.022526,   0.024805,  -0.000000,   0.000000,  -0.138583,   0.000000,   0.000000,    4.0000,    5.0250
   -3.850,     0.000,   0.295793,   0.002369,   0.021127,   0.023496,  -0.000000,   0.000000,  -0.134513,   0.000000,   0.000000,    4.0000,    4.9698
   -3.700,     0.000,   0.310280,   0.002464,   0.019306,   0.021770,  -0.000000,   0.000000,  -0.130479,   0.000000,   0.000000,    4.0000,    4.9199
   -3.550,     0.000,   0.324763,   0.002564,   0.017350,   0.019914,  -0.000000,   0.000000,  -0.126464,   0.000000,   0.000000,    4.0000,    4.8743
   -3.400,     0.000,   0.339244,   0.002668,   0.015425,   0.018092,  -0.000000,   0.000000,  -0.122443,   0.000000,   0.000000,    4.0000,    4.8327
   -3.250,     0.000,   0.353722,   0.002776,   0.013764,   0.016540,  -0.000000,   0.000000,  -0.118417,   0.000000,   0.000000,    4.0000,    4.7945
   -3.100,     0.000,   0.368198,   0.002889,   0.012964,   0.015853,  -0.000000,   0.000000,  -0.114311,   0.000000,   0.000000,    4.0000,    4.7593
   -2.950,     0.000,   0.382670,   0.003006,   0.012614,   0.015620,  -0.000000,   0.000000,  -0.110118,   0.000000,   0.000000,    4.0000,    4.7267
   -2.800,     0.000,   0.397139,   0.003127,   0.012279,   0.015406,  -0.000000,   0.000000,  -0.105916,   0.000000,   0.000000,    4.0000,    4.6966
   -2.650,     0.000,   0.411605,   0.003253,   0.011971,   0.015225,  -0.000000,   0.000000,  -0.101705,   0.000000,   0.000000,    4.0000,    4.6686
   -2.500,     0.000,   0.426067,   0.003383,   0.011866,   0.015249,  -0.000000,   0.000000,  -0.097483,   0.000000,   0.000000,    4.0000,    4.6424
   -2.350,     0.000,   0.440526,   0.003518,   0.012948,   0.016466,  -0.000000,   0.000000,  -0.093160,   0.000000,   0.000000,    4.0000,    4.6180
   -2.200,     0.000,   0.454981,   0.003657,   0.013181,   0.016838,  -0.000000,   0.000000,  -0.088853,   0.000000,   0.000000,    4.0000,    4.5952
   -2.050,     0.000,   0.469432,   0.003800,   0.013013,   0.016813,  -0.000000,   0.000000,  -0.084603,   0.000000,   0.000000,    4.0000,    4.5738
   -1.900,     0.000,   0.483879,   0.003948,   0.012864,   0.016812,  -0.000000,   0.000000,  -0.080347,   0.000000,   0.000000,    4.0000,    4.5536
   -1.750,     0.000,   0.498322,   0.004099,   0.012724,   0.016823,  -0.000000,   0.000000,  -0.076084,   0.000000,   0.000000,    4.0000,    4.5347
   -1.600,     0.000,   0.512761,   0.004256,   0.012587,   0.016842,  -0.000000,   0.000000,  -0.071817,   0.000000,   0.000000,    4.0000,    4.5168
   -1.450,     0.000,   0.527195,   0.004416,   0.012470,   0.016886,  -0.000000,   0.000000,  -0.067543,   0.000000,   0.000000,    4.0000,    4.4999
   -1.300,     0.000,   0.541625,   0.004581,   0.012365,   0.016946,  -0.000000,   0.000000,  -0.063262,   0.000000,   0.000000,    4.0000,    4.4839
   -1.150,     0.000,   0.556051,   0.004750,   0.012241,   0.016992,  -0.000000,   0.000000,  -0.058979,   0.000000,   0.000000,    4.0000,    4.4687
   -1.000,     0.000,   0.570471,   0.004924,   0.012104,   0.017028,  -0.000000,   0.000000,  -0.054692,   0.000000,   0.000000,    4.0000,    4.4543
   -0.850,     0.000,   0.584887,   0.005101,   0.011925,   0.017027,  -0.000000,   0.000000,  -0.050403,   0.000000,   0.000000,    4.0000,    4.4407
   -0.700,     0.000,   0.599297,   0.005283,   0.011738,   0.017021,  -0.000000,   0.000000,  -0.046111,   0.000000,   0.000000,    4.0000,    4.4277
   -0.550,     0.000,   0.613702,   0.005470,   0.011563,   0.017032,  -0.000000,   0.000000,  -0.041814,   0.000000,   0.000000,    4.0000,    4.4153
   -0.400,     0.000,   0.628102,   0.005660,   0.011412,   0.017072,  -0.000000,   0.000000,  -0.037511,   0.000000,   0.000000,    4.0000,    4.4035
   -0.250,     0.000,   0.642497,   0.005855,   0.011299,   0.017154,  -0.000000,   0.000000,  -0.033201,   0.000000,   0.000000,    4.0000,    4.3922
   -0.100,     0.000,   0.656886,   0.006054,   0.011192,   0.017246,  -0.000000,   0.000000,  -0.028886,   0.000000,   0.000000,    4.0000,    4.3815
    0.050,     0.000,   0.671269,   0.006257,   0.011074,   0.017331,  -0.000000,   0.000000,  -0.024569,   0.000000,   0.000000,    4.0000,    4.3712
    0.200,     0.000,   0.685647,   0.006464,   0.010934,   0.017399,  -0.000000,   0.000000,  -0.020250,   0.000000,   0.000000,    4.0000,    4.3613
    0.350,     0.000,   0.700018,   0.006676,   0.010843,   0.017519,  -0.000000,   0.000000,  -0.015923,   0.000000,   0.000000,    4.0000,    4.3518
    0.500,     0.000,   0.714383,   0.006892,   0.010823,   0.017715,  -0.000000,   0.000000,  -0.011588,   0.000000,   0.000000,    4.0000,    4.3428
    0.650,     0.000,   0.728743,   0.007112,   0.010837,   0.017949,  -0.000000,   0.000000,  -0.007247,   0.000000,   0.000000,    4.0000,    4.3341
    0.800,     0.000,   0.743095,   0.007336,   0.010856,   0.018192,  -0.000000,   0.000000,  -0.002902,   0.000000,   0.000000,    4.0000,    4.3257
    0.950,     0.000,   0.757442,   0.007564,   0.010873,   0.018438,  -0.000000,   0.000000,   0.001445,   0.000000,   0.000000,    4.0000,    4.3177
    1.100,     0.000,   0.771781,   0.007797,   0.010889,   0.018686,  -0.000000,   0.000000,   0.005795,   0.000000,   0.000000,    4.0000,    4.3100
    1.250,     0.000,   0.786114,   0.008033,   0.010905,   0.018939,  -0.000000,   0.000000,   0.010148,   0.000000,   0.000000,    4.0000,    4.3026
    1.400,     0.000,   0.800440,   0.008274,   0.010944,   0.019218,  -0.000000,   0.000000,   0.014505,   0.000000,   0.000000,    4.0000,    4.2954
    1.550,     0.000,   0.814759,   0.008519,   0.011008,   0.019527,  -0.000000,   0.000000,   0.018866,   0.000000,   0.000000,    4.0000,    4.2885
    1.700,     0.000,   0.829071,   0.008768,   0.011080,   0.019847,  -0.000000,   0.000000,   0.023230,   0.000000,   0.000000,    4.0000,    4.2819
