xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-45.0 m/s-VLM1-proj_area
Freestream speed :, 45.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.089801,   0.000313,   0.010690,   0.011003,  -0.000000,  -0.000000,  -0.062929,   0.000000,   0.000000,   45.0000,    5.2885
   -1.500,     0.000,   0.138064,   0.000428,   0.010666,   0.011095,  -0.000000,  -0.000000,  -0.049684,   0.000000,   0.000000,   45.0000,    4.8045
   -1.000,     0.000,   0.186314,   0.000592,   0.010651,   0.011243,  -0.000000,  -0.000000,  -0.036394,   0.000000,   0.000000,   45.0000,    4.5713
   -0.500,     0.000,   0.234547,   0.000804,   0.010691,   0.011495,  -0.000000,  -0.000000,  -0.023060,   0.000000,   0.000000,   45.0000,    4.4341
    0.000,     0.000,   0.282756,   0.001064,   0.010741,   0.011804,  -0.000000,  -0.000000,  -0.009691,   0.000000,   0.000000,   45.0000,    4.3438
    0.500,     0.000,   0.330937,   0.001371,   0.010777,   0.012149,  -0.000000,  -0.000000,   0.003709,   0.000000,   0.000000,   45.0000,    4.2798
    1.000,     0.000,   0.379085,   0.001727,   0.010667,   0.012394,  -0.000000,  -0.000000,   0.017130,   0.000000,   0.000000,   45.0000,    4.2322
    1.500,     0.000,   0.427196,   0.002129,   0.010848,   0.012977,  -0.000000,  -0.000000,   0.030585,   0.000000,   0.000000,   45.0000,    4.1955
    2.000,     0.000,   0.475264,   0.002579,   0.011006,   0.013585,  -0.000000,  -0.000000,   0.044061,   0.000000,   0.000000,   45.0000,    4.1662
    2.500,     0.000,   0.523284,   0.003076,   0.011026,   0.014102,  -0.000000,  -0.000000,   0.057546,   0.000000,   0.000000,   45.0000,    4.1424
    3.000,     0.000,   0.571252,   0.003619,   0.011062,   0.014680,  -0.000000,  -0.000000,   0.071042,   0.000000,   0.000000,   45.0000,    4.1227
    3.500,     0.000,   0.619163,   0.004208,   0.011116,   0.015324,  -0.000000,  -0.000000,   0.084546,   0.000000,   0.000000,   45.0000,    4.1061
    4.000,     0.000,   0.667011,   0.004843,   0.011204,   0.016046,  -0.000000,  -0.000000,   0.098053,   0.000000,   0.000000,   45.0000,    4.0921
    4.500,     0.000,   0.714793,   0.005522,   0.011221,   0.016744,  -0.000000,  -0.000000,   0.111559,   0.000000,   0.000000,   45.0000,    4.0799
    5.000,     0.000,   0.762502,   0.006247,   0.011477,   0.017724,  -0.000000,  -0.000000,   0.125058,   0.000000,   0.000000,   45.0000,    4.0694
    5.500,     0.000,   0.810135,   0.007016,   0.011723,   0.018739,  -0.000000,  -0.000000,   0.138555,   0.000000,   0.000000,   45.0000,    4.0603
    6.000,     0.000,   0.857686,   0.007828,   0.011839,   0.019667,  -0.000000,  -0.000000,   0.152034,   0.000000,   0.000000,   45.0000,    4.0522
    6.500,     0.000,   0.905152,   0.008683,   0.011931,   0.020614,  -0.000000,  -0.000000,   0.165497,   0.000000,   0.000000,   45.0000,    4.0451
    7.000,     0.000,   0.952526,   0.009581,   0.011979,   0.021560,  -0.000000,  -0.000000,   0.178936,   0.000000,   0.000000,   45.0000,    4.0388
    7.500,     0.000,   0.999804,   0.010520,   0.012157,   0.022677,  -0.000000,  -0.000000,   0.192342,   0.000000,   0.000000,   45.0000,    4.0331
    8.000,     0.000,   1.046983,   0.011501,   0.012290,   0.023791,  -0.000000,  -0.000000,   0.205726,   0.000000,   0.000000,   45.0000,    4.0281
    8.500,     0.000,   1.094056,   0.012521,   0.012909,   0.025430,  -0.000000,  -0.000000,   0.219044,   0.000000,   0.000000,   45.0000,    4.0236
    9.000,     0.000,   1.141019,   0.013581,   0.017192,   0.030774,  -0.000000,  -0.000000,   0.232317,   0.000000,   0.000000,   45.0000,    4.0196
    9.500,     0.000,   1.187868,   0.014680,   0.003761,   0.018441,  -0.000000,  -0.000000,   0.246094,   0.000000,   0.000000,   45.0000,    4.0160
   10.000,     0.000,   1.234598,   0.015817,   0.001980,   0.017797,  -0.000000,  -0.000000,   0.258802,   0.000000,   0.000000,   45.0000,    4.0127
   10.500,     0.000,   1.281205,   0.016991,   0.002314,   0.019305,  -0.000000,  -0.000000,   0.271891,   0.000000,   0.000000,   45.0000,    4.0098
   11.000,     0.000,   1.327683,   0.018201,   0.001905,   0.020106,  -0.000000,  -0.000000,   0.285226,   0.000000,   0.000000,   45.0000,    4.0071
   11.500,     0.000,   1.374029,   0.019447,   0.001329,   0.020776,  -0.000000,  -0.000000,   0.298018,   0.000000,   0.000000,   45.0000,    4.0048
   12.000,     0.000,   1.420238,   0.020727,   0.001122,   0.021849,  -0.000000,  -0.000000,   0.311133,   0.000000,   0.000000,   45.0000,    4.0027
   12.500,     0.000,   1.466305,   0.022040,   0.001128,   0.023168,  -0.000000,  -0.000000,   0.324083,   0.000000,   0.000000,   45.0000,    4.0008
   13.000,     0.000,   1.512227,   0.023386,   0.001135,   0.024521,  -0.000000,  -0.000000,   0.336962,   0.000000,   0.000000,   45.0000,    3.9991
   13.500,     0.000,   1.557998,   0.024763,   0.000879,   0.025641,  -0.000000,  -0.000000,   0.349916,   0.000000,   0.000000,   45.0000,    3.9976
   14.000,     0.000,   1.603614,   0.026170,   0.000881,   0.027052,  -0.000000,  -0.000000,   0.362653,   0.000000,   0.000000,   45.0000,    3.9963
   14.500,     0.000,   1.649072,   0.027607,   0.000884,   0.028491,  -0.000000,  -0.000000,   0.375308,   0.000000,   0.000000,   45.0000,    3.9951
   15.000,     0.000,   1.694366,   0.029072,   0.000885,   0.029958,  -0.000000,  -0.000000,   0.387877,   0.000000,   0.000000,   45.0000,    3.9941
   15.500,     0.000,   1.739493,   0.030565,   0.000886,   0.031451,  -0.000000,  -0.000000,   0.400357,   0.000000,   0.000000,   45.0000,    3.9932


