xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-32.5 m/s-VLM1-425.0kg-x3.8m-proj_area
Freestream speed :, 32.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.463586,   0.003612,   0.012669,   0.016281,  -0.000000,  -0.000000,  -0.258408,   0.000000,   0.000000,   32.4700,    4.5752
   -1.750,     0.000,   0.487674,   0.003855,   0.011342,   0.015198,  -0.000000,  -0.000000,  -0.260660,   0.000000,   0.000000,   32.4700,    4.5423
   -1.500,     0.000,   0.511748,   0.004111,   0.011088,   0.015200,  -0.000000,  -0.000000,  -0.262916,   0.000000,   0.000000,   32.4700,    4.5125
   -1.250,     0.000,   0.535808,   0.004379,   0.010947,   0.015326,  -0.000000,  -0.000000,  -0.265180,   0.000000,   0.000000,   32.4700,    4.4855
   -1.000,     0.000,   0.559852,   0.004658,   0.010819,   0.015477,  -0.000000,  -0.000000,  -0.267443,   0.000000,   0.000000,   32.4700,    4.4608
   -0.750,     0.000,   0.583881,   0.004949,   0.010714,   0.015663,  -0.000000,  -0.000000,  -0.269705,   0.000000,   0.000000,   32.4700,    4.4382
   -0.500,     0.000,   0.607892,   0.005252,   0.010667,   0.015919,  -0.000000,  -0.000000,  -0.271964,   0.000000,   0.000000,   32.4700,    4.4174
   -0.250,     0.000,   0.631887,   0.005566,   0.010659,   0.016225,  -0.000000,  -0.000000,  -0.274221,   0.000000,   0.000000,   32.4700,    4.3983
    0.000,     0.000,   0.655863,   0.005892,   0.010635,   0.016527,  -0.000000,  -0.000000,  -0.276474,   0.000000,   0.000000,   32.4700,    4.3806
    0.250,     0.000,   0.679819,   0.006230,   0.010591,   0.016821,  -0.000000,  -0.000000,  -0.278723,   0.000000,   0.000000,   32.4700,    4.3642
    0.500,     0.000,   0.703756,   0.006579,   0.010503,   0.017082,  -0.000000,  -0.000000,  -0.280967,   0.000000,   0.000000,   32.4700,    4.3489
    0.750,     0.000,   0.727673,   0.006940,   0.010364,   0.017304,  -0.000000,  -0.000000,  -0.283207,   0.000000,   0.000000,   32.4700,    4.3347
    1.000,     0.000,   0.751568,   0.007312,   0.010231,   0.017543,  -0.000000,  -0.000000,  -0.285441,   0.000000,   0.000000,   32.4700,    4.3214
    1.250,     0.000,   0.775441,   0.007695,   0.010185,   0.017880,  -0.000000,  -0.000000,  -0.287671,   0.000000,   0.000000,   32.4700,    4.3090
    1.500,     0.000,   0.799291,   0.008089,   0.010189,   0.018278,  -0.000000,  -0.000000,  -0.289896,   0.000000,   0.000000,   32.4700,    4.2974
    1.750,     0.000,   0.823118,   0.008495,   0.010207,   0.018702,  -0.000000,  -0.000000,  -0.292116,   0.000000,   0.000000,   32.4700,    4.2865
    2.000,     0.000,   0.846920,   0.008912,   0.010231,   0.019143,  -0.000000,  -0.000000,  -0.294331,   0.000000,   0.000000,   32.4700,    4.2763
    2.250,     0.000,   0.870697,   0.009340,   0.010249,   0.019589,  -0.000000,  -0.000000,  -0.296541,   0.000000,   0.000000,   32.4700,    4.2666
    2.500,     0.000,   0.894448,   0.009779,   0.010224,   0.020002,  -0.000000,  -0.000000,  -0.298745,   0.000000,   0.000000,   32.4700,    4.2575
    2.750,     0.000,   0.918173,   0.010229,   0.010167,   0.020396,  -0.000000,  -0.000000,  -0.300944,   0.000000,   0.000000,   32.4700,    4.2490
    3.000,     0.000,   0.941870,   0.010690,   0.010252,   0.020942,  -0.000000,  -0.000000,  -0.303134,   0.000000,   0.000000,   32.4700,    4.2409
