xflr5 v6.39

Plane name :, aquilai
Polar name :, T1-50.0 m/s-VLM1-proj_area
Freestream speed :, 50.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.244443,   0.002212,   0.011566,   0.013778,  -0.000000,   0.000000,  -0.181668,   0.000000,   0.000000,   50.0000,    5.3584
   -4.750,     0.000,   0.268621,   0.002346,   0.011168,   0.013514,  -0.000000,   0.000000,  -0.175235,   0.000000,   0.000000,   50.0000,    5.2277
   -4.500,     0.000,   0.292792,   0.002492,   0.010793,   0.013285,  -0.000000,   0.000000,  -0.168772,   0.000000,   0.000000,   50.0000,    5.1185
   -4.250,     0.000,   0.316958,   0.002650,   0.010335,   0.012985,  -0.000000,   0.000000,  -0.162296,   0.000000,   0.000000,   50.0000,    5.0261
   -4.000,     0.000,   0.341116,   0.002820,   0.009937,   0.012757,  -0.000000,   0.000000,  -0.155802,   0.000000,   0.000000,   50.0000,    4.9467
   -3.750,     0.000,   0.365267,   0.003002,   0.009629,   0.012630,  -0.000000,   0.000000,  -0.149276,   0.000000,   0.000000,   50.0000,    4.8778
   -3.500,     0.000,   0.389409,   0.003195,   0.009341,   0.012537,  -0.000000,   0.000000,  -0.142728,   0.000000,   0.000000,   50.0000,    4.8175
   -3.250,     0.000,   0.413543,   0.003401,   0.009074,   0.012476,  -0.000000,   0.000000,  -0.136161,   0.000000,   0.000000,   50.0000,    4.7643
   -3.000,     0.000,   0.437668,   0.003619,   0.008830,   0.012448,  -0.000000,   0.000000,  -0.129574,   0.000000,   0.000000,   50.0000,    4.7169
   -2.750,     0.000,   0.461782,   0.003848,   0.008619,   0.012467,  -0.000000,   0.000000,  -0.122967,   0.000000,   0.000000,   50.0000,    4.6745
   -2.500,     0.000,   0.485886,   0.004089,   0.008429,   0.012519,  -0.000000,   0.000000,  -0.116340,   0.000000,   0.000000,   50.0000,    4.6363
   -2.250,     0.000,   0.509979,   0.004343,   0.008265,   0.012607,  -0.000000,   0.000000,  -0.109694,   0.000000,   0.000000,   50.0000,    4.6018
   -2.000,     0.000,   0.534059,   0.004607,   0.008108,   0.012716,  -0.000000,   0.000000,  -0.103032,   0.000000,   0.000000,   50.0000,    4.5704
   -1.750,     0.000,   0.558128,   0.004884,   0.007963,   0.012847,  -0.000000,   0.000000,  -0.096353,   0.000000,   0.000000,   50.0000,    4.5417
   -1.500,     0.000,   0.582183,   0.005172,   0.007832,   0.013004,  -0.000000,   0.000000,  -0.089658,   0.000000,   0.000000,   50.0000,    4.5154
   -1.250,     0.000,   0.606224,   0.005472,   0.007721,   0.013193,  -0.000000,   0.000000,  -0.082948,   0.000000,   0.000000,   50.0000,    4.4912
   -1.000,     0.000,   0.630252,   0.005784,   0.007626,   0.013410,  -0.000000,   0.000000,  -0.076222,   0.000000,   0.000000,   50.0000,    4.4689
   -0.750,     0.000,   0.654264,   0.006107,   0.007550,   0.013657,  -0.000000,   0.000000,  -0.069482,   0.000000,   0.000000,   50.0000,    4.4482
   -0.500,     0.000,   0.678261,   0.006442,   0.007469,   0.013911,  -0.000000,   0.000000,  -0.062730,   0.000000,   0.000000,   50.0000,    4.4291
   -0.250,     0.000,   0.702241,   0.006788,   0.007396,   0.014184,  -0.000000,   0.000000,  -0.055965,   0.000000,   0.000000,   50.0000,    4.4112
    0.000,     0.000,   0.726205,   0.007146,   0.007352,   0.014498,  -0.000000,   0.000000,  -0.049186,   0.000000,   0.000000,   50.0000,    4.3946
    0.250,     0.000,   0.750151,   0.007515,   0.007310,   0.014824,  -0.000000,   0.000000,  -0.042397,   0.000000,   0.000000,   50.0000,    4.3790
    0.500,     0.000,   0.774080,   0.007895,   0.007284,   0.015180,  -0.000000,   0.000000,  -0.035595,   0.000000,   0.000000,   50.0000,    4.3644
    0.750,     0.000,   0.797990,   0.008287,   0.007277,   0.015564,  -0.000000,   0.000000,  -0.028783,   0.000000,   0.000000,   50.0000,    4.3507
    1.000,     0.000,   0.821881,   0.008690,   0.007274,   0.015964,  -0.000000,   0.000000,  -0.021961,   0.000000,   0.000000,   50.0000,    4.3378
    1.250,     0.000,   0.845752,   0.009104,   0.007288,   0.016392,  -0.000000,   0.000000,  -0.015129,   0.000000,   0.000000,   50.0000,    4.3257
    1.500,     0.000,   0.869602,   0.009529,   0.007316,   0.016845,  -0.000000,   0.000000,  -0.008288,   0.000000,   0.000000,   50.0000,    4.3143
    1.750,     0.000,   0.893432,   0.009965,   0.007361,   0.017326,  -0.000000,   0.000000,  -0.001437,   0.000000,   0.000000,   50.0000,    4.3035
    2.000,     0.000,   0.917240,   0.010412,   0.007425,   0.017837,  -0.000000,   0.000000,   0.005421,   0.000000,   0.000000,   50.0000,    4.2933
    2.250,     0.000,   0.941026,   0.010870,   0.007499,   0.018369,  -0.000000,   0.000000,   0.012287,   0.000000,   0.000000,   50.0000,    4.2836
    2.500,     0.000,   0.964789,   0.011339,   0.007584,   0.018923,  -0.000000,   0.000000,   0.019159,   0.000000,   0.000000,   50.0000,    4.2744
    2.750,     0.000,   0.988529,   0.011819,   0.007688,   0.019506,  -0.000000,   0.000000,   0.026038,   0.000000,   0.000000,   50.0000,    4.2657
    3.000,     0.000,   1.012245,   0.012309,   0.007811,   0.020120,  -0.000000,   0.000000,   0.032923,   0.000000,   0.000000,   50.0000,    4.2574
    3.250,     0.000,   1.035936,   0.012810,   0.007952,   0.020762,  -0.000000,   0.000000,   0.039814,   0.000000,   0.000000,   50.0000,    4.2495
    3.500,     0.000,   1.059602,   0.013321,   0.008110,   0.021431,  -0.000000,   0.000000,   0.046709,   0.000000,   0.000000,   50.0000,    4.2420
    3.750,     0.000,   1.083243,   0.013843,   0.008281,   0.022124,  -0.000000,   0.000000,   0.053608,   0.000000,   0.000000,   50.0000,    4.2348
    4.000,     0.000,   1.106857,   0.014375,   0.008465,   0.022841,  -0.000000,   0.000000,   0.060511,   0.000000,   0.000000,   50.0000,    4.2280
    4.250,     0.000,   1.130444,   0.014918,   0.008640,   0.023558,  -0.000000,   0.000000,   0.067415,   0.000000,   0.000000,   50.0000,    4.2214
    4.500,     0.000,   1.154003,   0.015470,   0.008816,   0.024287,  -0.000000,   0.000000,   0.074323,   0.000000,   0.000000,   50.0000,    4.2152
    4.750,     0.000,   1.177535,   0.016033,   0.009065,   0.025098,  -0.000000,   0.000000,   0.081231,   0.000000,   0.000000,   50.0000,    4.2092
    5.000,     0.000,   1.201038,   0.016606,   0.009344,   0.025950,  -0.000000,   0.000000,   0.088144,   0.000000,   0.000000,   50.0000,    4.2035
    5.250,     0.000,   1.224511,   0.017188,   0.009640,   0.026828,  -0.000000,   0.000000,   0.095057,   0.000000,   0.000000,   50.0000,    4.1980
    5.500,     0.000,   1.247955,   0.017781,   0.009949,   0.027730,  -0.000000,   0.000000,   0.101969,   0.000000,   0.000000,   50.0000,    4.1928
    5.750,     0.000,   1.271368,   0.018383,   0.010291,   0.028673,  -0.000000,   0.000000,   0.108883,   0.000000,   0.000000,   50.0000,    4.1878
    6.000,     0.000,   1.294751,   0.018994,   0.010667,   0.029661,  -0.000000,   0.000000,   0.115795,   0.000000,   0.000000,   50.0000,    4.1829
    6.250,     0.000,   1.318101,   0.019616,   0.011127,   0.030743,  -0.000000,   0.000000,   0.122708,   0.000000,   0.000000,   50.0000,    4.1783
    6.500,     0.000,   1.341420,   0.020246,   0.011686,   0.031933,  -0.000000,   0.000000,   0.129620,   0.000000,   0.000000,   50.0000,    4.1738
    6.750,     0.000,   1.364706,   0.020886,   0.012352,   0.033239,  -0.000000,   0.000000,   0.136531,   0.000000,   0.000000,   50.0000,    4.1696
    7.000,     0.000,   1.387959,   0.021535,   0.012972,   0.034508,  -0.000000,   0.000000,   0.143437,   0.000000,   0.000000,   50.0000,    4.1655
    7.250,     0.000,   1.411177,   0.022194,   0.013587,   0.035780,  -0.000000,   0.000000,   0.150346,   0.000000,   0.000000,   50.0000,    4.1615
    7.500,     0.000,   1.434362,   0.022861,   0.014269,   0.037129,  -0.000000,   0.000000,   0.157247,   0.000000,   0.000000,   50.0000,    4.1577
    7.750,     0.000,   1.457511,   0.023537,   0.015020,   0.038557,  -0.000000,   0.000000,   0.164141,   0.000000,   0.000000,   50.0000,    4.1540
    8.000,     0.000,   1.480625,   0.024222,   0.015884,   0.040106,  -0.000000,   0.000000,   0.171031,   0.000000,   0.000000,   50.0000,    4.1505
    8.250,     0.000,   1.503703,   0.024915,   0.016886,   0.041801,  -0.000000,   0.000000,   0.177915,   0.000000,   0.000000,   50.0000,    4.1471
    8.500,     0.000,   1.526744,   0.025617,   0.017995,   0.043611,  -0.000000,   0.000000,   0.184794,   0.000000,   0.000000,   50.0000,    4.1439


