Model,Config
m,"aircraft,mass_total,value"
E_d,"aircraft,battery,energy_density,value"
m_payload,"aircraft,mass_payload,value"
m_battery,"aircraft,battery,mass,value"
AR,"aircraft,aspect_ratio"
S,"aircraft,wing_top_surface_area,value"
R_prop,"aircraft,propeller_radius,value"
e_motor,"aircraft,motor_efficiency"
P_payload,"aircraft,power_for_payload,value"
P_int,"aircraft,power_for_internal_systems,value"
thickness,"aircraft,airfoil_thickness_ratio"
SOC_initial,"aircraft,battery,initial_state_of_charge"
y,"trajectory,y,initial_value"
psi_0,"trajectory,psi,initial_value"
phi_0,"trajectory,phi,initial_value"
alpha_0,"trajectory,alpha,initial_value"
tp_0,"trajectory,tp,initial_value"
v_g0,"trajectory,v,initial_value"
w_n,"wind,w_n"
w_e,"wind,w_e"
w_d,"wind,w_d"
max_dist,"trajectory,x,max"
